time,z,beta,mean,sd,atr,low,high,signal_spread,mean_log_b
1756684800,2.9962265731519544,1.0,3.191821273604006,0.004099474402133476,0.0015293592007098614,3.1936795475739324,3.2052555479533673,3.2041042277436347,8.404954028079496
1756685700,2.485548522390114,1.0,3.191963237099351,0.004356967565717268,0.001574078098687767,3.194735516325535,3.2052555479533673,3.2027926913944214,8.404745286005502
1756686600,2.6190253457991104,1.0,3.192099771746232,0.004552872353576181,0.001600766826486577,3.195457384293677,3.2052555479533673,3.204023859836436,8.40448500893535
1756687500,2.139957906232352,1.0,3.1922513175221106,0.004780160989796551,0.0016581436154907386,3.1978856936729194,3.2052555479533673,3.202480660825289,8.404177989325971
1756688400,2.1290211251542854,1.0,3.1924066040642423,0.0049456540140978035,0.0015281528502411998,3.1978856936729194,3.2052555479533673,3.2029360059379606,8.40390474354163
1756689300,1.9883103868010554,1.0,3.1925591585400195,0.00511462334567912,0.0014893891810739493,3.1983491318131545,3.2052555479533673,3.2027286172628084,8.403639271547787
1756690200,1.4656109714758554,1.0,3.192704345380326,0.0052670832458261594,0.0013330935163067587,3.201534866885268,3.2052555479533673,3.2004238403730856,8.403364018138163
1756691100,0.7917613634550349,1.0,3.1928349141851413,0.005352558505706953,0.0014530370066606782,3.2004238403730856,3.2052555479533673,3.1970728632055927,8.403139691095312
1756692000,0.8499491847548252,1.0,3.192941740903388,0.0053678262198388355,0.0016169661792242757,3.1970728632055927,3.2041042277436347,3.1975041204228454,8.402973239826498
1756692900,1.3286563067908297,1.0,3.193058921042116,0.005384261494127785,0.0015962082684464513,3.1970728632055927,3.204023859836436,3.2002127540337,8.402802077678096
1756693800,1.0251251997776183,1.0,3.1931883896795874,0.005454642750136852,0.0015961677484130274,3.1970728632055927,3.204023859836436,3.198780081418537,8.402605771641056
1756694700,1.3777476966605806,1.0,3.1933095876004938,0.0054912429845847465,0.0016784378272046549,3.1970728632055927,3.2029360059379606,3.200875134974309,8.402371929595166
1756695600,1.0889479668893949,1.0,3.1934559101757998,0.0055656177575850695,0.0017949817854572916,3.1970728632055927,3.2029360059379606,3.1995165783174055,8.40210585121757
1756696500,1.2341913393143624,1.0,3.1935645958592573,0.005614775078811932,0.001664469041513707,3.1970728632055927,3.2027286172628084,3.200494302633725,8.401862463813904
1756697400,0.951983344946338,1.0,3.1936610476372795,0.005679592662185562,0.0014685435592437354,3.1970728632055927,3.200875134974309,3.1990679252577596,8.40162387065938
1756698300,0.6776075658115249,1.0,3.193831233598763,0.005675870871034727,0.0014881904996889414,3.1970728632055927,3.200875134974309,3.1976772466435452,8.401306962439808
1756699200,0.3636799640494295,1.0,3.1939888535919803,0.005640307012721691,0.001493843518617588,3.1975041204228454,3.200875134974309,3.1960401202435946,8.401029681810734
1756700100,0.3770733466221183,1.0,3.194137696493904,0.005566297921003101,0.0015228405156130062,3.1960401202435946,3.200875134974309,3.1962365990792723,8.400773402246019
1756701000,0.6012781149065173,1.0,3.1942873777645797,0.005491421853762867,0.001426646217365197,3.1960401202435946,3.200875134974309,3.1975892495449667,8.400534404898744
1756701900,0.7285429696026692,1.0,3.1944679666442433,0.0054063364954831305,0.0014907394568668408,3.1960401202435946,3.200875134974309,3.198406715089334,8.400218440157571
1756702800,0.6009801917310255,1.0,3.1946363958175805,0.005358295388794773,0.0015343163760964831,3.1960401202435946,3.200494302633725,3.19785662520769,8.399893384366202
1756703700,0.9992330947223742,1.0,3.19486932371162,0.00516574203048632,0.001408981589805133,3.1960401202435946,3.200494302633725,3.20003110410728,8.39952815424857
1756704600,0.8158940491097445,1.0,3.1951184977586404,0.005022106458094343,0.0013249459992406645,3.1960401202435946,3.20003110410728,3.199216004531795,8.399154959955032
1756705500,0.674936697563765,1.0,3.195320816079059,0.004921273104843108,0.0013523633105429716,3.1960401202435946,3.20003110410728,3.1986423638962513,8.398869051792948
1756706400,0.9192675580335407,1.0,3.1955117797360657,0.004808030378366216,0.0011998638123064914,3.1960401202435946,3.20003110410728,3.1999316460809375,8.398615838507851
1756707300,1.3016313055034252,1.0,3.195704617839384,0.004733357021086997,0.0011896216387010025,3.1962365990792723,3.20003110410728,3.2018657035181555,8.39834238817275
