starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,month,symbol
300.0,306.51,6.51,2.17,1,1,0,100.0,0.43,0.4338,0.011,0.0,2025-12,US30
300.0,335.12,35.12,11.71,11,4,7,36.36,2.44,0.2217,0.0239,5.39,2026-01,US30
300.0,296.87,-3.13,-1.04,2,1,1,50.0,-0.2,-0.1018,0.0001,2.15,2026-01,XAUUSD
300.0,323.02,23.02,7.67,13,7,6,53.85,1.73,0.1331,0.0249,10.15,2026-02,US30
300.0,296.32,-3.68,-1.23,2,1,1,50.0,-0.21,-0.1029,0.0001,5.0,2026-02,XAUUSD
300.0,328.76,28.76,9.59,13,7,6,53.85,2.07,0.1593,0.0165,13.52,2026-03,US30
300.0,318.46,18.46,6.15,3,2,1,66.67,1.25,0.4166,0.0001,1.34,2026-03,XAUUSD
300.0,256.32,-43.68,-14.56,9,3,6,33.33,-3.06,-0.3402,0.0193,17.09,2026-04,US30
300.0,291.05,-8.95,-2.98,3,1,2,33.33,-0.5,-0.1668,0.0001,9.75,2026-04,XAUUSD
300.0,280.94,-19.06,-6.35,7,2,5,28.57,-1.19,-0.1704,0.0267,8.68,2026-05,US30
300.0,303.14,3.14,1.05,2,1,1,50.0,0.21,0.1059,0.0001,0.76,2026-05,XAUUSD
300.0,351.78,51.78,17.26,5,4,1,80.0,3.34,0.6688,0.0108,5.04,2026-06,US30
300.0,304.0,4.0,1.33,1,1,0,100.0,0.27,0.2666,0.0001,0.0,2026-06,XAUUSD
